107,617
108,617
108,616
109,615
111,612
113,609
117,606
122,599
128,590
133,581
138,573
143,564
148,554
151,546
156,535
161,522
167,510
174,495
182,479
190,461
198,444
206,425
215,408
224,387
229,368
231,350
236,331
242,312
247,295
251,282
256,270
261,258
268,246
276,231
281,222
286,213
292,202
294,193
301,185
306,177
311,168
316,161
320,152
324,145
329,139
331,130
336,123
341,115
345,108
346,103
348,99
352,95
354,89
357,85
358,81
361,76
364,72
366,69
367,65
369,62
370,59
371,57
371,56
371,55
372,56
377,61
384,69
395,78
407,88
414,98
421,111
434,126
443,141
454,155
463,166
471,176
482,189
491,202
498,214
507,226
514,238
521,253
529,269
536,284
543,298
550,312
555,325
560,337
566,346
568,355
573,362
578,368
580,375
583,383
587,391
591,400
593,407
596,416
600,424
604,433
607,441
609,448
612,456
614,462
616,467
620,472
623,480
627,486
629,492
633,499
635,506
637,513
641,523
645,531
647,538
649,544
651,549
655,557
658,565
663,572
667,579
671,581
674,585
677,590
681,595
683,597
684,598
685,601
685,605
686,606
687,607
688,609
689,610
689,612
690,614
691,615
692,616
692,618
692,619
693,620
694,622
695,623
695,624
696,626
696,627
696,626
695,624
686,615
678,611
671,607
664,603
651,597
634,589
616,581
595,573
578,564
562,559
546,554
529,547
511,536
493,524
475,513
457,504
438,496
423,489
409,482
392,474
383,467
374,461
363,455
346,450
337,443
324,436
313,429
303,421
293,413
282,406
271,400
261,391
251,381
241,374
236,368
229,363
220,356
211,348
202,341
193,335
185,328
178,320
171,312
163,305
155,298
149,293
143,289
136,284
129,279
124,274
120,269
116,268
112,265
106,261
101,256
98,253
96,251
94,249
93,248
92,248
91,245
90,244
88,242
87,241
85,240
84,239
82,238
79,236
77,234
76,233
73,230
71,229
70,228
67,225
65,225
62,224
58,221
54,219
53,218
53,217
52,216
51,215
50,215
52,215
56,215
63,215
71,215
81,218
92,220
101,222
110,222
122,222
135,222
153,223
172,225
191,227
210,227
233,229
257,229
280,229
301,229
322,229
339,229
362,229
381,229
400,229
421,229
440,229
455,231
468,231
481,229
494,229
509,231
516,233
525,233
536,233
549,233
560,235
575,235
590,235
603,235
615,237
624,237
635,237
644,237
653,237
662,236
670,236
674,236
678,236
680,236
681,236
684,236
688,234
692,234
695,234
698,234
702,234
706,233
709,233
712,233
715,233
716,233
717,233
718,233
719,233
718,233
716,233
712,234
706,235
702,237
694,241
684,249
675,257
662,266
647,277
632,284
618,293
605,303
590,314
571,331
556,344
535,359
520,372
506,379
491,388
476,398
463,405
451,414
444,421
437,428
428,436
418,445
411,450
402,457
395,462
388,469
379,474
370,479
363,485
357,491
351,498
344,505
337,510
333,517
328,521
321,528
314,532
310,536
305,538
303,539
302,540
300,542
296,544
293,547
289,550
285,552
282,553
279,555
276,556
273,557
269,557
266,559
261,562
256,563
251,564
245,566
241,568
236,570
228,572
221,574
213,576
206,576
199,580
189,585
179,588
172,590
164,595
158,599
152,601
147,603
141,605
136,605
132,606
127,606
121,608
120,610
116,611
112,613
106,613
102,614
101,615
99,615
98,615
97,615
96,616
95,616
94,616
93,616
93,617
93,616
93,616
